,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
212,서울특별시 마포구,합정동,-19.4,3,8.53,1,69.01,2,1
213,서울특별시 마포구,망원제1동,-19.98,5,0.59,1,72.37,2,1
214,서울특별시 마포구,망원제2동,-10.48,5,12.65,0,64.66,2,1
215,서울특별시 마포구,연남동,-9.72,5,7.95,0,69.69,2,1
216,서울특별시 마포구,성산제1동,2.07,3,-3.06,1,63.4,2,1
217,서울특별시 마포구,성산제2동,-8.79,5,5.08,0,69.83,2,1
218,서울특별시 마포구,상암동,22.14,2,16.85,0,24.06,0,0
219,서울특별시 마포구,도화동,-1.76,3,5.12,1,69.99,2,1
220,서울특별시 마포구,서강동,-0.14,2,17,0,60.01,1,0
221,서울특별시 마포구,공덕동,10.6,1,2.03,0,75.93,1,0
222,서울특별시 마포구,아현동,63.91,2,-7.08,1,73.22,2,1
223,서울특별시 양천구,목1동,-0.62,3,11.83,0,64.46,2,1
224,서울특별시 양천구,목2동,-5.39,2,-4.15,3,55.26,2,1
225,서울특별시 양천구,목3동,-3.86,5,-0.63,1,63.09,2,1
226,서울특별시 양천구,목4동,-4.76,5,-2.86,2,62.21,2,1
227,서울특별시 양천구,신월1동,-17,5,-0.86,1,79.64,2,1
228,서울특별시 양천구,신월2동,-31.97,0,-5.03,1,69.21,3,1
229,서울특별시 양천구,신월3동,-29.96,3,-7.25,2,85.39,3,1
230,서울특별시 양천구,신월4동,-25.55,1,0.25,1,52.44,2,1
231,서울특별시 양천구,신월5동,-17.44,1,-5.11,1,70.06,2,1
232,서울특별시 양천구,신월6동,-47.23,5,-20.91,4,91.19,3,1
233,서울특별시 양천구,신월7동,-29.36,5,-7.56,1,91.49,3,1
234,서울특별시 양천구,신정1동,-37.85,4,-15.25,3,80.74,3,1
235,서울특별시 양천구,신정2동,-37.61,5,-3.64,2,70.12,2,1
236,서울특별시 양천구,신정3동,12.77,4,2.6,0,70.58,2,1
237,서울특별시 양천구,신정6동,-11.52,5,1.08,0,83.74,2,1
238,서울특별시 양천구,신정7동,-8.08,5,-1.11,1,51.71,2,1
239,서울특별시 양천구,목5동,-3.88,5,1.72,1,82.37,2,1
240,서울특별시 양천구,신정4동,-0.5,3,-3.45,2,59.84,2,1
