,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
298,경기도 남양주시,진접읍,13.47,1,11.97,0,25.46,0,0
299,경기도 남양주시,화도읍,17.43,0,3.37,0,35.91,0,0
300,경기도 남양주시,진건읍,-14.06,5,18.26,0,24.58,1,0
301,경기도 남양주시,오남읍,1.29,4,9.34,0,25.67,1,0
302,경기도 남양주시,별내면,-28.32,5,6.51,0,20.45,1,0
303,경기도 남양주시,퇴계원면,12.64,1,0.92,1,58.65,1,0
304,경기도 남양주시,수동면,20.85,0,13.37,0,20.76,0,0
305,경기도 남양주시,조안면,-1.57,1,22.83,1,28.52,0,0
306,경기도 남양주시,호평동,29.51,0,3.78,0,13.13,0,0
307,경기도 남양주시,평내동,1.41,3,2.18,0,23.63,1,0
308,경기도 남양주시,금곡동,-11.28,5,1.37,1,56.35,2,1
309,경기도 남양주시,양정동,-33.96,5,25.12,0,24.87,1,0
310,경기도 남양주시,지금동,-10.16,4,-11.08,3,31.01,2,1
311,경기도 남양주시,도농동,2.07,1,-9.33,2,64.26,2,1
312,경기도 남양주시,별내동,0,0,58.89,0,8.05,0,0
313,경기도 오산시,중앙동,-8.56,4,-0.83,0,60.33,2,1
314,경기도 오산시,대원동,8.48,1,0.62,0,47.93,0,0
315,경기도 오산시,남촌동,-5.75,4,5.63,0,33.27,1,0
316,경기도 오산시,신장동,38.61,1,5.53,0,38.9,0,0
317,경기도 오산시,세마동,59.39,0,21.93,0,23.86,0,0
318,경기도 오산시,초평동,-1.07,4,-1.23,1,42.52,1,0
319,경기도 시흥시,대야동,-10.82,5,-3.34,1,52.02,2,1
320,경기도 시흥시,신천동,-4.21,4,0.43,1,60.55,2,1
321,경기도 시흥시,신현동,-11.68,5,17.16,0,24.94,1,0
322,경기도 시흥시,은행동,-7.76,5,-8.21,1,35.46,2,1
323,경기도 시흥시,매화동,-2.52,3,12.22,0,25.36,1,0
324,경기도 시흥시,목감동,-3.23,3,3.19,2,23.18,1,0
325,경기도 시흥시,과림동,-28.92,5,4.37,0,22.5,1,0
326,경기도 시흥시,정왕2동,-49.53,5,4.11,1,17.01,1,0
327,경기도 시흥시,정왕3동,-0.69,3,2.1,1,20.89,1,0
328,경기도 시흥시,정왕4동,21.83,2,-7.13,2,14.46,1,0
329,경기도 시흥시,정왕본동,-2.44,2,-1.38,1,8.61,0,0
330,경기도 시흥시,정왕1동,-25.33,5,3.67,0,20.14,1,0
331,경기도 시흥시,능곡동,6.7,2,22.39,0,7.6,0,0
332,경기도 시흥시,군자동,-38.95,3,6.31,1,19.31,1,0
333,경기도 시흥시,월곶동,0,2,13.97,0,7.59,0,0
334,경기도 시흥시,연성동,-45.55,5,8.73,1,5.87,1,0
335,경기도 시흥시,장곡동,0,2,-3.39,2,1.89,0,0
336,경기도 군포시,군포1동,-0.95,3,2.74,0,65.39,2,1
337,경기도 군포시,군포2동,21.98,1,7.37,0,18.86,0,0
338,경기도 군포시,산본1동,-24.99,5,-1.54,1,75.25,2,1
339,경기도 군포시,산본2동,-0.81,3,-0.65,1,70.94,2,1
340,경기도 군포시,금정동,-39.37,4,-4.78,2,73.88,2,1
341,경기도 군포시,재궁동,-24.25,5,-4.38,2,87.2,2,1
342,경기도 군포시,오금동,-16.85,5,-5.45,2,81.74,3,1
343,경기도 군포시,수리동,-21.67,5,-0.43,1,82.61,2,1
344,경기도 군포시,궁내동,-11.88,5,-0.55,1,95.59,2,1
