시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
경기도,경기도 동두천시,소요동,X,X,O,-10.84,1.00,0.57,1.00,52.23,1,X
경기도,경기도 동두천시,상패동,O,X,O,-34.30,5.00,6.27,2.00,55.87,2,O
경기도,경기도 동두천시,송내동,X,X,X,2.99,0.00,4.87,0.00,15.42,0,X
경기도,경기도 안산시,일동,O,X,X,-26.73,1.00,2.72,1.00,35.45,1,X
경기도,경기도 안산시,사1동,O,X,X,-20.24,1.00,-2.00,2.00,26.13,1,X
경기도,경기도 안산시,사2동,X,O,X,-0.87,1.00,-2.79,3.00,42.75,1,X
경기도,경기도 안산시,본오1동,X,X,X,2.33,1.00,-3.34,1.00,38.69,0,X
경기도,경기도 안산시,본오2동,O,O,X,-27.08,5.00,-7.70,1.00,43.15,2,O
경기도,경기도 안산시,본오3동,O,X,O,-9.34,4.00,1.89,0.00,50.27,2,O
경기도,경기도 안산시,부곡동,X,X,X,5.83,0.00,-1.85,1.00,37.88,0,X
경기도,경기도 안산시,월피동,O,X,X,-0.96,5.00,3.31,1.00,41.44,1,X
경기도,경기도 안산시,성포동,O,X,O,-20.77,5.00,-2.50,1.00,85.38,2,O
경기도,경기도 안산시,반월동,O,X,X,-37.87,4.00,4.10,0.00,44.42,1,X
경기도,경기도 안산시,안산동,X,X,X,9.33,2.00,11.81,0.00,29.45,0,X
경기도,경기도 안산시,이동,X,X,X,-0.31,1.00,3.27,1.00,21.52,0,X
경기도,경기도 안산시,사3동,O,X,X,-6.48,3.00,10.34,2.00,12.18,1,X
경기도,경기도 안산시,와동,O,X,X,-1.99,3.00,-2.36,2.00,49.86,1,X
경기도,경기도 안산시,고잔1동,O,X,O,-31.87,5.00,-3.14,1.00,69.34,2,O
경기도,경기도 안산시,고잔2동,O,X,O,-18.90,5.00,3.81,1.00,62.08,2,O
경기도,경기도 안산시,원곡본동,X,X,X,6.29,2.00,14.40,0.00,35.10,0,X
경기도,경기도 안산시,원곡1동,O,O,O,-67.16,5.00,-16.70,2.00,66.75,3,O
경기도,경기도 안산시,원곡2동,O,O,X,-6.08,5.00,-9.62,3.00,13.16,2,O
경기도,경기도 안산시,초지동,O,X,X,-5.68,5.00,7.58,0.00,32.55,1,X
경기도,경기도 안산시,선부1동,O,X,O,-37.50,5.00,4.35,2.00,87.56,2,O
경기도,경기도 안산시,선부2동,O,X,O,-23.42,5.00,0.07,1.00,62.86,2,O
경기도,경기도 안산시,선부3동,O,X,O,-13.15,5.00,3.69,0.00,58.25,2,O
경기도,경기도 안산시,대부동,X,X,X,21.92,0.00,3.30,0.00,37.84,0,X
경기도,경기도 안산시,호수동,O,X,X,-1.45,4.00,4.38,1.00,0.50,1,X
경기도,경기도 고양시,주교동,O,O,O,-12.32,5.00,-7.13,2.00,65.49,3,O
경기도,경기도 고양시,원신동,O,X,X,-73.77,0.00,39.53,1.00,20.50,1,X
경기도,경기도 고양시,흥도동,X,X,X,393.88,0.00,72.37,1.00,6.75,0,X
경기도,경기도 고양시,성사1동,O,X,O,-1.26,4.00,-1.22,1.00,65.59,2,O
경기도,경기도 고양시,성사2동,O,X,X,-20.06,5.00,-0.27,1.00,43.71,1,X
경기도,경기도 고양시,효자동,O,O,X,-77.85,4.00,-64.78,2.00,40.26,2,O
경기도,경기도 고양시,신도동,O,X,X,-54.26,0.00,7.04,0.00,49.81,1,X
경기도,경기도 고양시,창릉동,X,X,X,29.18,0.00,18.70,0.00,25.05,0,X
경기도,경기도 고양시,고양동,O,X,X,0.83,4.00,6.71,0.00,35.60,1,X
경기도,경기도 고양시,관산동,X,X,X,25.45,0.00,3.84,1.00,24.37,0,X
경기도,경기도 고양시,능곡동,O,X,X,-4.82,4.00,10.24,1.00,40.00,1,X
경기도,경기도 고양시,화정1동,O,X,O,-12.50,5.00,3.82,0.00,55.73,2,O
경기도,경기도 고양시,화정2동,O,X,X,-8.77,5.00,-0.66,1.00,43.70,1,X
경기도,경기도 고양시,행주동,O,X,O,-12.09,5.00,1.08,1.00,58.93,2,O
경기도,경기도 고양시,행신1동,O,X,O,-63.59,5.00,-0.40,1.00,64.08,2,O
경기도,경기도 고양시,행신2동,O,X,O,-14.92,5.00,3.92,1.00,52.25,2,O
경기도,경기도 고양시,화전동,O,O,X,-80.37,2.00,-41.21,3.00,20.37,2,O
경기도,경기도 고양시,대덕동,O,X,X,-31.71,4.00,23.71,0.00,13.03,1,X
경기도,경기도 고양시,행신3동,O,X,X,-5.29,5.00,-2.02,1.00,20.22,1,X
경기도,경기도 고양시,식사동,X,X,X,236.35,0.00,14.57,0.00,18.70,0,X
경기도,경기도 고양시,중산동,O,X,X,-0.82,4.00,4.63,0.00,34.67,1,X
경기도,경기도 고양시,정발산동,O,X,X,-10.24,5.00,0.61,2.00,43.37,1,X
경기도,경기도 고양시,풍산동,X,X,X,0.86,2.00,10.35,1.00,15.55,0,X
경기도,경기도 고양시,백석1동,O,X,O,-5.34,4.00,16.94,0.00,59.52,2,O
경기도,경기도 고양시,마두1동,O,X,O,-11.33,5.00,-0.65,1.00,50.39,2,O
경기도,경기도 고양시,마두2동,O,X,O,-48.42,5.00,7.89,0.00,87.16,2,O
경기도,경기도 고양시,장항1동,O,X,X,-33.94,3.00,17.77,1.00,33.89,1,X
경기도,경기도 고양시,장항2동,X,X,X,-6.41,1.00,8.95,0.00,27.85,0,X
경기도,경기도 고양시,고봉동,X,X,X,30.27,0.00,13.77,0.00,7.45,0,X
경기도,경기도 고양시,백석2동,O,X,O,-4.72,3.00,11.60,0.00,51.81,2,O
경기도,경기도 고양시,일산1동,O,X,X,-46.83,1.00,1.58,1.00,37.43,1,X
경기도,경기도 고양시,일산2동,O,X,O,-45.28,4.00,0.55,1.00,53.84,2,O
경기도,경기도 고양시,일산3동,O,X,O,-14.83,5.00,0.39,1.00,85.82,2,O
경기도,경기도 고양시,탄현동,X,X,X,14.22,1.00,7.60,0.00,27.12,0,X
경기도,경기도 고양시,주엽1동,O,X,O,-28.67,5.00,-4.38,2.00,88.68,2,O
경기도,경기도 고양시,주엽2동,O,X,O,-28.22,5.00,2.97,0.00,79.57,2,O
경기도,경기도 고양시,대화동,O,X,X,-9.35,3.00,7.02,0.00,38.68,1,X
