name,population,population_year,business,business_year,old_building,pass
서울특별시 은평구 신사제2동,-15.40331402,4,-5.098684211,2,81.91365228,3
서울특별시 은평구 증산동,-38.9908704,5,1.918735892,1,82.59430841,2
서울특별시 은평구 수색동,-38.43632066,5,-19.73039216,2,85.56005398,3
서울특별시 은평구 진관동,40.61232321,0,-25.77235772,0,16.1849711,1
서울특별시 은평구 불광제2동,-3.818883819,4,-3.514938489,2,78.76266281,2
서울특별시 은평구 응암제3동,-36.29420014,5,-2.89408867,1,80.91828138,2
서울특별시 은평구 역촌동,8.25741243,1,1.381351751,0,61.63728712,1
서울특별시 서대문구 천연동,-5.80522519,5,4.98687664,0,74.19753086,2
서울특별시 서대문구 홍제제1동,-11.65148454,4,1.043841336,0,78.25763217,2
서울특별시 서대문구 홍제제3동,-24.19237013,5,-3.565217391,1,84.91295938,2
서울특별시 서대문구 홍제제2동,-15.89630575,5,-3.80952381,1,74.74541752,2
서울특별시 서대문구 홍은제1동,-7.831753555,5,-25.88454376,3,85.85972851,3
서울특별시 서대문구 홍은제2동,0.613131525,1,-0.546448087,1,72.39150508,1
서울특별시 서대문구 남가좌제1동,-86.79200569,3,-60.6865285,5,86.94158076,3
서울특별시 서대문구 남가좌제2동,-15.46350723,5,-5.135951662,1,80.19138756,3
서울특별시 서대문구 북가좌제1동,-13.33271906,1,-35.71428571,0,66.8852459,2
서울특별시 서대문구 북가좌제2동,-1.728395062,2,-1.569858713,1,66.83826684,1
서울특별시 서대문구 충현동,-21.48921424,5,7.257072571,1,82.18362283,2
서울특별시 서대문구 북아현동,-35.02797541,3,-42.83137962,2,86.18677043,3
서울특별시 서대문구 신촌동,22.21095335,1,0.73548726,1,73.77777778,1
서울특별시 서대문구 연희동,-7.899457049,5,2.872340426,0,76.16619934,2
서울특별시 마포구 용강동,2.156941247,2,7.692307692,0,61.42208775,1
서울특별시 마포구 대흥동,-30.65563209,2,4.3335522,0,85.14190317,2
서울특별시 마포구 염리동,-56.1177029,3,-1.260504202,1,89.94038748,2
서울특별시 마포구 신수동,-10.48390789,4,7.865168539,1,68.85119507,2
서울특별시 마포구 서교동,-6.634118323,3,9.137489325,0,64.5245559,2
서울특별시 마포구 합정동,-19.40285085,3,8.528037383,1,69.00517539,2
서울특별시 마포구 망원제1동,-19.98096326,5,0.588730025,1,72.3699422,2
서울특별시 마포구 망원제2동,-10.47765794,5,12.65116279,0,64.65827338,2
서울특별시 마포구 연남동,-9.719839909,5,7.946428571,0,69.68641115,2
서울특별시 마포구 성산제1동,2.066348767,3,-3.064066852,1,63.40175953,2
서울특별시 마포구 성산제2동,-8.793344552,5,5.084745763,0,69.82836495,2
서울특별시 마포구 상암동,22.13937041,2,16.85393258,0,24.06417112,0
서울특별시 마포구 도화동,-1.758322268,3,5.11679644,1,69.98827667,2
서울특별시 마포구 서강동,-0.142697366,2,17,0,60.0132626,1
서울특별시 마포구 공덕동,10.60397764,1,2.031694433,0,75.9300762,1
서울특별시 마포구 아현동,63.9098683,2,-7.077255538,1,73.22404372,2
서울특별시 양천구 목1동,-0.620125304,3,11.82711198,0,64.46280992,2
서울특별시 양천구 목2동,-5.390192711,2,-4.150197628,3,55.25824518,2
서울특별시 양천구 목3동,-3.863510775,5,-0.632911392,1,63.08943089,2
서울특별시 양천구 목4동,-4.755600086,5,-2.859477124,2,62.20640569,2
서울특별시 양천구 신월1동,-17.00073153,5,-0.864361702,1,79.6367639,2
서울특별시 양천구 신월2동,-31.96817009,0,-5.027932961,1,69.213732,3
서울특별시 양천구 신월3동,-29.95946288,3,-7.25,2,85.39465507,3
서울특별시 양천구 신월4동,-25.54590279,1,0.246305419,1,52.43902439,2
서울특별시 양천구 신월5동,-17.44148594,1,-5.106888361,1,70.0610998,2
서울특별시 양천구 신월6동,-47.22523457,5,-20.91152815,4,91.18644068,3
서울특별시 양천구 신월7동,-29.35950221,5,-7.561436673,1,91.4893617,3
서울특별시 양천구 신정1동,-37.85366196,4,-15.25423729,3,80.73555166,3
서울특별시 양천구 신정2동,-37.61470668,5,-3.638151426,2,70.12383901,2
서울특별시 양천구 신정3동,12.76806051,4,2.603471295,0,70.57654076,2
서울특별시 양천구 신정6동,-11.52141274,5,1.083591331,0,83.7398374,2
서울특별시 양천구 신정7동,-8.077029223,5,-1.10974106,1,51.71339564,2
서울특별시 양천구 목5동,-3.878065127,5,1.719394773,1,82.37410072,2
서울특별시 양천구 신정4동,-0.500868558,3,-3.45323741,2,59.83701979,2
서울특별시 강서구 염창동,-0.632393423,4,1.104100946,1,50.36855037,2
서울특별시 강서구 등촌제1동,-50.71322606,2,7.343550447,1,57.14285714,2
서울특별시 강서구 등촌제2동,-8.811566009,4,1.893287435,1,57.30027548,2
서울특별시 강서구 등촌제3동,-13.49442285,5,7.375381485,1,54.52261307,2
서울특별시 강서구 화곡본동,-9.779122226,2,-1.507092199,1,50.71556351,1
서울특별시 강서구 화곡제2동,-49.28690941,4,-4.62585034,2,60.72701354,2
서울특별시 강서구 화곡제3동,-8.187494865,5,-1.553398058,2,53.94990366,2
서울특별시 강서구 화곡제4동,-9.087912993,1,-6.090979183,2,65.49423893,2
서울특별시 강서구 화곡제6동,2.411764706,2,-0.829383886,1,62.15450035,1
서울특별시 강서구 화곡제8동,-4.443372063,3,-4.067460317,1,53.9964476,2
서울특별시 강서구 가양제1동,10.79521061,1,20.2970297,2,54.46735395,1
서울특별시 강서구 가양제2동,-30.84365982,5,-2.059925094,1,67.79661017,2
서울특별시 강서구 가양제3동,-23.39022848,5,3.680981595,0,66.94915254,2
서울특별시 강서구 발산제1동,21.78019013,1,1.658640984,1,38.10945274,0
서울특별시 강서구 공항동,-26.11856607,4,-5.269058296,2,59.19888216,3
서울특별시 강서구 방화제1동,15.56790435,2,4.548211037,1,63.64727055,1
서울특별시 강서구 방화제2동,-22.72891191,5,-8.319280495,1,74.222668,3
서울특별시 강서구 방화제3동,-20.59002726,5,4.244482173,3,62.16216216,3
서울특별시 강서구 화곡제1동,1.889841082,1,-2.603773585,2,60.31944879,1
